model,depth,rows,accuracy,macro_f1,valid_rows,invalid_rows
base,5,1668,0.39568345323741005,0.3946172646763575,834,834
base,6,1666,0.3847539015606242,0.38473594609931633,833,833
base,7,1666,0.3817527010804322,0.3816635893621836,833,833
finetuned_depth5,5,1668,0.5029976019184652,0.33996027652730354,834,834
finetuned_depth5,6,1666,0.503001200480192,0.33996819096141,833,833
finetuned_depth5,7,1666,0.5024009603841537,0.3386467079918499,833,833
