split,rows,repair_dyck_acceptance,repair_original_match,label_exact_match,valid_rows,valid_repair_dyck_acceptance,valid_unchanged_accuracy,invalid_rows,invalid_repair_dyck_acceptance,invalid_original_match,invalid_label_exact_match
test_id,5000,0.5682,0.5682,0.5682,2500,1.0,1.0,2500,0.1364,0.1364,0.1364
test_ood,5000,0.528,0.528,0.528,2500,0.9996,0.9996,2500,0.0564,0.0564,0.0564
