task,split,rows,accuracy,macro_f1,weighted_f1
depth_after,dev,48284,0.6300845000414216,0.5638331511923435,0.6008403927591197
depth_after,test_id,48568,0.6376626585406029,0.5729291920724796,0.6097481188076069
depth_after,test_ood,117318,0.35020201503605586,0.21891893091764902,0.3039895250935631
top_closer_after,dev,48284,0.8021083588766466,0.7953721328346969,0.8050610092638816
top_closer_after,test_id,48568,0.807383462362049,0.8017874413223055,0.80982944738621
top_closer_after,test_ood,117318,0.709447825568114,0.6671977343080137,0.7231318920882873
