split,depth,rows,accuracy,macro_f1
test_id,1,137,0.8175182481751825,0.8107002708229702
test_id,2,689,0.8548621190130624,0.8539982030548068
test_id,3,1026,0.8937621832358674,0.8934560153803502
test_id,4,3148,0.8757941550190598,0.8719853396574435
test_ood,5,1668,0.48501199040767384,0.46336609114834876
test_ood,6,1666,0.48739495798319327,0.47314403365327645
test_ood,7,1666,0.4831932773109244,0.46893311321952724
