split,layer,head,pairs,mean_closer_to_matching_opener,std_closer_to_matching_opener,median_closer_to_matching_opener,mean_opener_to_matching_closer,std_opener_to_matching_closer,median_opener_to_matching_closer,mean_closer_to_cls,std_closer_to_cls,mean_opener_to_cls,std_opener_to_cls,mean_distance,std_distance
test_id,0,1,5982,0.05254192277975936,0.03898943487570121,0.040957041084766305,0.031174801907919932,0.022000746166592783,0.02656637690961355,0.03391669237387117,0.027341437168724975,0.05010219354201782,0.033375404672795934,3.3447007689735875,4.519759642053129
test_id,0,3,5982,0.047440655773072084,0.03148554580371213,0.0387570224702358,0.039725860647903226,0.022750354054217867,0.0339985694736242,0.04705855519713506,0.028845521141071147,0.026108085872127124,0.0176270607556558,3.3447007689735875,4.519759642053129
test_id,1,0,5982,0.041393934175202686,0.0261728175411148,0.03490678779780865,0.030769647174352557,0.023676560420795915,0.0246255630627274,0.03816606130000088,0.018182427159730445,0.04210265608260292,0.02330869652934544,3.3447007689735875,4.519759642053129
test_id,1,3,5982,0.03899684043506804,0.026928627311190306,0.032079711556434604,0.037751362295701384,0.0260201736291422,0.0321148391813039,0.03632570238650371,0.023637079255309338,0.03693437803519835,0.01974037931680927,3.3447007689735875,4.519759642053129
test_id,1,1,5982,0.0321489761099552,0.021262765517487715,0.027273805812001152,0.04046236152716465,0.03304687304820965,0.0312007451429963,0.03217119952382058,0.03299757605358702,0.04542606713868977,0.037408668741176654,3.3447007689735875,4.519759642053129
test_id,1,2,5982,0.02997682208618171,0.02081803589770914,0.02488481346517795,0.03142140791696754,0.023634024713793753,0.0264596696943044,0.03204080330705205,0.020969410785172494,0.022892711575282176,0.012663494062968579,3.3447007689735875,4.519759642053129
test_id,0,2,5982,0.029008352181009167,0.02068147290623559,0.02340788021683685,0.03880679315477306,0.0257195802986748,0.0328984186053276,0.06145392816584765,0.041422369240628094,0.07247428208700399,0.04871220376924953,3.3447007689735875,4.519759642053129
test_id,0,0,5982,0.024773381901377112,0.019121268161548764,0.01942019630223505,0.027413415748081663,0.021401914271023875,0.0218835538253188,0.04729198904761579,0.031009576997395254,0.02389986812297732,0.015727869021830425,3.3447007689735875,4.519759642053129
test_ood,0,1,14576,0.022131664599640798,0.01252937661236692,0.01908014155924315,0.014008802109008687,0.00842677106178387,0.012590096332132799,0.016854923793888303,0.013595328138811525,0.023779550380091077,0.01508092440777141,5.16602634467618,8.543133285220863
test_ood,0,3,14576,0.021492362791686613,0.013877403675690899,0.0175128364935517,0.01842635168775612,0.00881257472777385,0.01640617754310365,0.020515492777051902,0.00892187775567874,0.010404231130884314,0.004468032491245465,5.16602634467618,8.543133285220863
test_ood,1,0,14576,0.019053684740583977,0.010277116935741933,0.01686351094394915,0.012923709493796239,0.006832103607093647,0.01171246310696,0.016178193047712175,0.007028995369015027,0.017254779961247114,0.008570066061647862,5.16602634467618,8.543133285220863
test_ood,1,3,14576,0.016792879986681344,0.00883500193907824,0.0149894962087273,0.016591377305059822,0.010600772400738265,0.014072619844228001,0.014734468727957042,0.007652113940696098,0.01687298495436576,0.007519019081585074,5.16602634467618,8.543133285220863
test_ood,1,2,14576,0.01471577114855603,0.009967951906441475,0.01245700707659125,0.013737451293116548,0.007867914948511365,0.0123110124841332,0.015609608682460393,0.0094302759677227,0.011590247520461974,0.005070689760835255,5.16602634467618,8.543133285220863
test_ood,1,1,14576,0.01447336552640313,0.008279749897135494,0.012828134000301299,0.016685613214155383,0.0104875438356542,0.014152921736240349,0.013311442791099254,0.013734701349148526,0.019039512231307513,0.014028026935557318,5.16602634467618,8.543133285220863
test_ood,0,2,14576,0.012405840989195376,0.006674338227315482,0.01086028851568695,0.017571438525744047,0.009240022002786083,0.01568286679685115,0.02615914476991823,0.011909674124382583,0.030860249167181653,0.015633078644630184,5.16602634467618,8.543133285220863
test_ood,0,0,14576,0.011253421689496666,0.00684874550512584,0.009786927606910401,0.011953126072824966,0.007085062971783366,0.010464418213814448,0.02049382997273361,0.007853780353131492,0.010817091948386953,0.005046435560160935,5.16602634467618,8.543133285220863
